,state,job_title,company,job_description,avg
0,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
1,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
2,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
3,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
4,NSW,Technical Marketing Content Writer freelance / part time,        Daisee,"            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",90000.0
5,NSW,Programming Geek ,        AllAssignmentHelp.com,"            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",87500.0
6,NSW,Advanced Trainee,        NSW Health Service,Research and Teaching:. Participation in research projects. Participation in appropriate research projects....,87500.0
7,NSW,Executive Interviewer – Part Time,        Kim & Associates,            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....,87500.0
8,NSW,Budget Analyst,        The Treasury,            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....,87500.0
9,NSW,Pathologist and Research Scientist ,        Australian Army,Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...,87500.0
10,NSW,Business Analyst Process Improvement Professional,        Children's Cancer Institute,            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...,87500.0
11,NSW,Operations Analyst ,         chill,            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....,87500.0
12,NSW,Property Analyst,        JLL,"            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",87500.0
