,city,state,job_title,company,salary,job_description,job_type,salary_category,date
0,Australia,Nan,Pathologist and Research Scientist - Reserve,"

        Australian Army",NA,"
Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...",parttime,%2480%2C000,30+ days ago
1,Sydney NSW,Nan,Business Analyst Process Improvement Professional,"

        Children's Cancer Institute",NA,"
            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...",parttime,%2480%2C000,12 days ago
2,Sydney NSW,Nan,Operations Analyst - Fast Growing Startup,"
        and chill",NA,"
            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....",parttime,%2480%2C000,11 days ago
3,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",parttime,%2480%2C000,18 days ago
4,St Leonards NSW,Nan,Technical Marketing Content Writer (freelance / part time),"
        Daisee","
                $60,000 - $120,000 a year","
            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",parttime,%2480%2C000,3 days ago
5,Australia,Nan,Programming Geek - Java/C/C++/PHP,"
        AllAssignmentHelp.com",NA,"
            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",parttime,%2480%2C000,4 days ago
6,Sydney Western Suburbs NSW,Nan,Advanced Trainee,"
        NSW Health Service",NA,"
Research and Teaching:. Participation in research projects. Participation in appropriate research projects....",parttime,%2480%2C000,11 days ago
7,Sydney NSW,Nan,Executive Interviewer – Part Time,"
        Kim & Associates",NA,"
            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....",parttime,%2480%2C000,24 days ago
8,Canberra ACT,Nan,"22-2018 - APS Level 6 - Executive Level 1 - Budget Analyst,...","

        The Treasury",NA,"
            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....",parttime,%2480%2C000,4 days ago
9,Australia,Nan,Pathologist and Research Scientist - Reserve,"

        Australian Army",NA,"
Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...",parttime,%24100%2C000,30+ days ago
10,Sydney NSW,Nan,Business Analyst Process Improvement Professional,"

        Children's Cancer Institute",NA,"
            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...",parttime,%24100%2C000,12 days ago
11,Sydney NSW,Nan,Operations Analyst - Fast Growing Startup,"
        and chill",NA,"
            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....",parttime,%24100%2C000,11 days ago
12,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",parttime,%24100%2C000,18 days ago
13,St Leonards NSW,Nan,Technical Marketing Content Writer (freelance / part time),"
        Daisee","
                $60,000 - $120,000 a year","
            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",parttime,%24100%2C000,3 days ago
14,Australia,Nan,Programming Geek - Java/C/C++/PHP,"
        AllAssignmentHelp.com",NA,"
            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",parttime,%24100%2C000,4 days ago
15,Sydney Western Suburbs NSW,Nan,Advanced Trainee,"
        NSW Health Service",NA,"
Research and Teaching:. Participation in research projects. Participation in appropriate research projects....",parttime,%24100%2C000,11 days ago
16,Sydney NSW,Nan,Executive Interviewer – Part Time,"
        Kim & Associates",NA,"
            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....",parttime,%24100%2C000,24 days ago
17,Canberra ACT,Nan,"22-2018 - APS Level 6 - Executive Level 1 - Budget Analyst,...","

        The Treasury",NA,"
            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....",parttime,%24100%2C000,4 days ago
18,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",parttime,%24100%2C000,18 days ago
19,North Shore NSW,Nan,Provisional Fellow,"
        NSW Health Service",NA,"
            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",parttime,%24100%2C000,11 days ago
20,Melbourne VIC,Nan,(Part-time or Job Share) Technology Solutions Professional -...,"

        Microsoft",NA,"
            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",parttime,%24100%2C000,30+ days ago
21,Canberra ACT,Nan,"22-2018 - APS Level 6 - Executive Level 1 - Budget Analyst,...","

        The Treasury",NA,"
            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....",parttime,%24100%2C000,4 days ago
22,Australia,Nan,Pathologist and Research Scientist - Reserve,"

        Australian Army",NA,"
Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...",parttime,%24120%2C000,30+ days ago
23,Sydney NSW,Nan,Business Analyst Process Improvement Professional,"

        Children's Cancer Institute",NA,"
            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...",parttime,%24120%2C000,12 days ago
24,Sydney NSW,Nan,Operations Analyst - Fast Growing Startup,"
        and chill",NA,"
            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....",parttime,%24120%2C000,11 days ago
25,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",parttime,%24120%2C000,18 days ago
