,age,gender,amount,fraud,es_transportation,es_health,es_hyper,es_food,es_wellnessandbeauty,es_fashion,es_hotelservices,es_sportsandtoys,es_barsandrestaurants,es_home,es_tech,es_contents,es_otherservices,es_travel,es_leisure
171915,3,F,49.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426989,4,F,39.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310539,3,F,18.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215216,4,M,13.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569244,2,M,49.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153631,4,F,57.82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290621,5,F,27.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78537,2,F,7.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56239,4,M,42.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562564,2,F,21.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429742,3,M,25.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282044,5,F,70.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211040,2,F,41.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115784,2,M,12.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345901,2,M,13.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564630,2,M,29.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463539,5,M,33.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174633,4,F,23.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103574,5,F,55.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11122,5,M,52.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419118,3,M,44.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100793,4,F,42.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555846,4,M,28.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156536,6,F,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165671,2,F,3.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305336,6,F,65.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208970,2,F,29.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587004,4,M,16.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
579532,3,F,40.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286077,2,M,20.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549369,5,F,57.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
403863,3,M,18.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592914,1,F,87.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44268,6,M,188.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202735,4,M,13.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486252,2,F,31.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436724,2,F,40.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264799,2,F,21.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42352,2,F,59.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558626,5,F,56.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192858,5,M,68.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189244,5,F,19.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165919,2,M,17.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55303,2,F,3.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420019,3,F,43.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581170,2,F,23.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518588,4,M,9.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288606,3,F,7.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583096,3,F,65.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217243,4,M,22.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511919,2,F,18.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482845,2,F,95.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415157,2,F,14.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185655,4,M,46.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24869,4,F,14.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547641,4,M,52.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489484,2,F,22.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186103,4,M,26.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238273,4,M,48.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46496,3,F,4.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309460,1,M,2.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98261,3,F,43.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338663,6,M,12.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262857,3,M,32.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8457,5,M,32.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191447,2,F,12.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453910,4,F,15.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534351,2,F,23.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566038,6,M,8.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
492259,3,M,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257814,3,M,36.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165498,4,M,26.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416135,1,F,17.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279271,4,M,10.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79034,2,F,53.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84526,1,M,188.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186117,5,M,228.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158192,3,M,14.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6891,4,F,4.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492092,2,F,28.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95119,4,M,13.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446847,3,F,1.31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102604,5,F,51.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
563312,6,M,19.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208109,6,F,95.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228774,1,F,57.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480254,3,F,30.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522755,2,F,44.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565608,3,M,28.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276868,4,F,28.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108084,3,M,88.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
583859,2,F,48.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
481323,2,F,39.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250618,6,F,48.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214302,1,F,13.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236289,3,F,43.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92503,4,F,26.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474911,2,F,27.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58702,2,F,17.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434398,1,M,103.79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
541509,3,M,31.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579065,4,M,32.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80081,4,F,16.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69635,3,M,36.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88489,6,F,47.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382515,3,F,25.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
