model,feature,coefficient
rating_controls_only,intercept,0.066881
rating_controls_only,log_review_count,0.006947
rating_controls_only,avg_rating,0.937416
rating_controls_only,low_star_share,-0.030052
rating_controls_only,five_star_share,0.018684
rating_controls_only,verified_purchase_share,0.006496
rating_controls_only,avg_helpful_votes,0.000563
rating_controls_only,avg_text_words,-0.002731
rating_controls_plus_text,intercept,0.066881
rating_controls_plus_text,log_review_count,0.006819
rating_controls_plus_text,avg_rating,0.952523
rating_controls_plus_text,low_star_share,-0.02783
rating_controls_plus_text,five_star_share,0.016097
rating_controls_plus_text,verified_purchase_share,0.00626
rating_controls_plus_text,avg_helpful_votes,0.000129
rating_controls_plus_text,avg_text_words,0.010322
rating_controls_plus_text,avg_lexicon_sentiment,-0.019983
rating_controls_plus_text,negative_text_share,0.024108
rating_controls_plus_text,complaint_language_share,-0.000726
rating_controls_plus_text,negative_title_share,0.007893
rating_controls_plus_text,text_rating_mismatch_share,-0.006995
rating_controls_plus_text,avg_positive_word_count,-0.000336
rating_controls_plus_text,avg_negative_word_count,-0.042219
rating_controls_plus_text_topics,intercept,0.066881
rating_controls_plus_text_topics,log_review_count,0.00501
rating_controls_plus_text_topics,avg_rating,0.956208
rating_controls_plus_text_topics,low_star_share,-0.029945
rating_controls_plus_text_topics,five_star_share,0.014748
rating_controls_plus_text_topics,verified_purchase_share,0.004334
rating_controls_plus_text_topics,avg_helpful_votes,-0.000203
rating_controls_plus_text_topics,avg_text_words,0.012516
rating_controls_plus_text_topics,avg_lexicon_sentiment,-0.020772
rating_controls_plus_text_topics,negative_text_share,0.022073
rating_controls_plus_text_topics,complaint_language_share,-0.008387
rating_controls_plus_text_topics,negative_title_share,0.00142
rating_controls_plus_text_topics,text_rating_mismatch_share,0.001141
rating_controls_plus_text_topics,avg_positive_word_count,0.00863
rating_controls_plus_text_topics,avg_negative_word_count,-0.01634
rating_controls_plus_text_topics,topic_skin_reaction_share,-0.013968
rating_controls_plus_text_topics,topic_scent_fragrance_share,-0.057247
rating_controls_plus_text_topics,topic_packaging_leakage_share,-0.013357
rating_controls_plus_text_topics,topic_authenticity_counterfeit_share,-0.002699
rating_controls_plus_text_topics,topic_effectiveness_quality_share,0.011698
rating_controls_plus_text_topics,topic_value_price_share,0.00334
rating_controls_plus_text_topics,topic_delivery_condition_share,-0.013261
rating_controls_plus_text_topics,topic_texture_usability_share,-0.011188
rating_controls_plus_text_topics,any_complaint_topic_share,0.003595
